"Abbreviation","Remedy Name","Mental_Emotional_Themes","General_Themes","Key_Local_Symptoms","Worse_From","Better_From","Notes_Sphere"
"SQUIL","Squilla maritima","Anxious, restless and easily startled; peevish and low from constant cough and chest irritation; mental dulness in long-standing bronchial trouble","Acts on respiratory and serous membranes; violent cough with copious mucous expectoration; hydrothorax and dropsy; marked sneezing and nasal catarrh; cutting abdominal pains with urging","Violent, exhausting cough ending in copious, thin mucus and often involuntary urination; sharp stitching or tearing pains in chest and abdomen when coughing or sneezing; frequent sneezing with watery coryza; sharp, cutting colic before stool with copious thin evacuations","Coughing, sneezing and deep breathing; motion; cold, damp weather; lying on painful side; early morning","Sitting bent forward while coughing; warm room; after free expectoration or stool; gentle rest","Respiratory and serous sphere; violent cough with chest and abdominal pains, copious mucus and tendencies to hydrothorax or dropsical states"
"STACH","Stachys betonica (Betonica)","Anxious, apprehensive and easily alarmed; melancholic and hypochondriacal; mentally dull with tendency to brood over trifles","Acts on head and nerves; congestive and nervous headaches; vertigo; functional nervous states with palpitations and faintness; some action on digestive tract with flatulence","Heavy, congestive headaches in forehead and temples, worse mental exertion and stooping; vertigo with tendency to fall forward; fluttering and palpitation with fainty feeling; flatulence with rumbling and abdominal discomfort","Mental exertion; stooping or bending head low; close rooms; emotional excitement","Open, cool air; gentle motion in fresh air; rest with head supported; light food","Nervous and cephalic sphere; congestive, nervous headaches and vertigo in anxious, hypochondriacal patients with flatulent dyspepsia"
"STANN","Stannum metallicum (Stannum)","Profoundly weak, despondent and tearful; feels all strength has gone; better for talking though it soon exhausts; fears some serious disease of lungs or nerves","Acts on nervous system and respiratory organs; extreme weakness from least exertion; catarrhal and suppurative lung disease; ptosis and prolapse from muscle weakness; sensation of emptiness in chest","Intense weakness in chest as if all strength were gone, must sit or lie down; cough with copious, thick, sweet or salty expectoration, leaving patient exhausted; voice weak, easily tired from talking or singing; bruised, aching pains in limbs, especially flexor muscles, better pressure and support","Talking or using voice; climbing stairs; slightest exertion; from 10 a.m. to afternoon; prolonged coughing","Rest; firm pressure or support on painful parts; sitting bent forward with elbows on knees; open air in moderation","Respiratory and nervous sphere; chronic bronchitis or phthisis and neurasthenia with great prostration, empty chest feeling and relief from pressure and support"
"STAPH","Staphysagria","Very sensitive, refined and easily offended; bottled-up anger from indignation or humiliation; ailments from wounded pride, insults or sexual abuse; throws things when alone yet appears mild in company","Acts on nerves, urinary and genital organs and skin; effects of suppressed anger and sexual excess or abuse; cystitis after instrumentation; styes, chalazia and dental caries; tendency to nervous tremors","Urging to urinate with burning and cutting during and after urination, especially after catheterization or coitus; sensation of ball or plug in rectum or bladder; styes and recurrent chalazia along eyelids; teeth crumble or decay quickly with toothache from slightest touch; itching, pediculosis and excoriated eruptions from scratching","Emotional shocks, insults and indignation; sexual excess or onanism; touch of affected parts; after operations or instrumentation (especially urinary)","Gentle expression of feelings; warm applications; rest and quiet; consolation when anger is acknowledged rather than suppressed","Nervous, genito-urinary and cutaneous sphere; consequences of suppressed anger, humiliation and sexual trauma with cystitis, eye-styes and dental or skin troubles"
"STEL","Stellaria media","Irritable, despondent and weary; mental dulness in chronic rheumatic and gouty states; easily discouraged by persistent pains","Acts on fibrous tissues, joints and muscles; rheumatism and gout; fibrositis of shoulders and hips; also some action on abdominal wall and ovaries","Sharp, darting, rheumatic pains through shoulders, chest walls, hips and knees; pains shift about and may be worse right shoulder and hip; soreness of abdominal wall and ovarian region; aggravated by motion and touch","Cold, damp weather; motion and walking; pressure on sore muscles; sudden strain","Rest; warmth; dry climate; gentle stretching once acute pain subsides","Musculo-skeletal sphere; rheumatic and gouty fibrositis with shifting sharp pains, especially shoulder and hip, in chilly, easily discouraged patients"
"STICT","Sticta pulmonaria (Sticta)","Restless, fidgety and cannot keep still; mind feels dull and heavy from head and nasal congestion; irritable from constant desire to blow nose without result","Acts on upper respiratory tract; dry catarrh of nose and sinuses; dull, bursting frontal headaches; laryngeal and tracheal irritation with dry, backing cough","Intense stuffiness of nose with sensation as if it would burst, yet little or no discharge; constant desire to blow nose but nothing comes; dull, heavy frontal headache; dry, hacking, teasing cough from tickling in larynx and trachea; catarrh extending to bronchi","Change of weather; cold, damp air; night; lying down; talking","Warm, dry air; sitting propped up; warm drinks; gradual onset of free nasal discharge","Nasal and respiratory sphere; dry, obstructive catarrh and sinus headache with useless nose-blowing and teasing dry cough"
"STIGM","Stigmata maydis (Zea)","Low-spirited, irritable and anxious about urinary troubles; mental dulness and fatigue in chronic kidney or bladder conditions","Acts on kidneys, bladder and prostate; catarrhal cystitis; gravel and phosphatic deposits; enuresis in children; urinary irritation of menopause or old age","Frequent urging to urinate with burning in urethra and bladder; urine cloudy, with mucus, phosphates or fine gravel; dull aching in kidneys and across small of back; in children, bed-wetting from irritability of bladder; in women, urinary frequency and burning at climacteric","Cold, damp weather; getting chilled; acids and highly seasoned food; long standing or walking","Warmth; copious intake of water (when tolerated); rest with back supported; bland, non-irritating diet","Urinary sphere; catarrhal cystitis, gravel and enuresis with mucous or phosphatic sediment and lumbar aching"
"STILL","Stillingia silvatica (Stillingia)","Depressed, irritable and hypochondriacal; anxious about bones, throat or glands; mentally dull in chronic syphilitic or rheumatic states","Acts on periosteum, bones, glands and mucous membranes; syphilitic and rheumatic affections; bone pains, especially at night; chronic laryngitis and bronchial catarrh; glandular enlargement","Boring, aching pains in bones of legs and head, worse at night and damp; chronic laryngitis with hoarseness, scraping and constant inclination to clear throat; dry, teasing cough with rawness in chest; enlarged cervical and other glands, sometimes indurated; eruptions or ulcers in throat and on skin in syphilitic diathesis","Night, especially after midnight; damp cold weather; exertion; sudden temperature changes","Dry, warm air; gentle, continued motion; rest with part supported; warm drinks for throat","Osseous, glandular and respiratory sphere; bone and gland pains, chronic laryngitis and syphilitic or rheumatic complaints with night aggravation and raw, scraping sensations"
"STRAM","Stramonium","Violent, terrified, delirious; intense fear of darkness, being alone, water, animals and shining objects; clings to people, prays, talks incessantly or screams with wild eyes; rage, mania and loquacity alternating with stupor","Intense action on brain and nerves; delirium, convulsions and spasms after fright or fever; choreic movements; marked dryness of mouth and throat; great sensitivity to light and glittering objects","Wild staring eyes with dilated pupils; face flushed, distorted, with grimaces; dryness of mouth and throat, cannot swallow liquids though asks for water; violent convulsions with opisthotonos and jerks; spasmodic cough and asthma with suffocative fear; no thirst in fever or intense thirst for cold water in spells","Darkness; being alone; sight of water or mirror; after fright or sunstroke; during sleep and on waking; bright light and noise","Company; bright light in room (compared to dark); warmth; being held or reassured; sitting partially upright","Brain and nervous system; acute delirium, night-terrors and spasmodic conditions after fright, with extreme fear, violence and dryness of throat"
"STRONT-C","Strontium carbonicum (Strontia)","Anxious, restless and depressed; fearful and easily startled after shock or injury; feels forsaken and lonely at night; apprehensive about heart and circulation","Acts on bones, blood-vessels and circulation; chronic effects of fractures and sprains; poor reaction after shock, operation or haemorrhage; hot flushes and vascular disturbances in elderly or climacteric patients","Coldness and weakness with sudden flushes of heat and sweat; painful, slow-healing joints after sprains; burning in feet at night; throbbing in head and limbs with weak, irregular pulse; diarrhoea after fruit or cold food in delicate old people","Standing or walking long; exertion after weakness or shock; cold, damp weather; fruit and cold food","Rest; warmth; lying with head high; gentle, gradual exercise after convalescence","Circulatory and osseous sphere; poor recovery after trauma, fractures or shock, with vascular instability, flushes and joint pain in weakened patients"
"STROPH-H","Strophanthus hispidus","Anxious, fearful and depressed about heart; easily frightened by palpitations; mentally tired and irritable from least exertion","Powerful heart tonic; acts on myocardium and circulation like digitalis but milder; dilated, weak heart with breathlessness; dropsy of ankles and lungs; supports compensation in valvular disease","Palpitation and precordial oppression from slight effort; pulse weak, irregular or rapid; dyspnoea on ascending, must stop and hold chest; oedema of ankles and feet; cyanosis and cold extremities in failing heart; sometimes scanty urine in cardiac dropsy","Exertion, especially climbing stairs or uphill; emotional excitement; lying flat in bed; warm, close rooms","Rest; sitting propped up in bed or chair; cool, fresh air; slow, measured movements","Cardiac and circulatory sphere; dilated, failing heart with breathlessness, ankle oedema and easy exhaustion from minimal exertion"
"STRY","Strychninum purum (Strychninum)","Extremely irritable, tense and anxious; easily startled by slightest noise or touch; fearful and apprehensive, cannot relax; mind over-excited yet soon exhausted","Acts intensively on spinal cord and motor nerves; great hyperaesthesia of all senses; tetanic spasms and convulsions; rigid muscles and exaggerated reflexes; small stimuli cause violent reactions","Twitching and jerking of muscles passing into tetanic spasms; slightest touch, noise or draft causes violent start or spasm; back stiff, arched; jaws clenched; pains in spine as if broken; insomnia from spinal irritation and over-excitement","Sudden noise, touch or motion; cold drafts; emotional excitement; attempting voluntary movement","Complete rest in quiet, dark room; warmth; absolute avoidance of sudden stimuli","Spinal and motor nervous sphere; convulsive and hyperreflex states with extreme sensitivity to impressions and tendency to tetanic spasms"
"STRY-P","Strychninum phosphoricum (Strychnia phosphorica)","Overstrained, irritable and anxious; mental confusion and poor memory; depressed from spinal and nervous exhaustion; dreads exertion yet feels driven","Acts on spinal cord and brain; neurasthenia from overwork, worry or sexual excess; weakness with trembling and twitching; insomnia from nervous irritability","Backache and spinal soreness with great weakness after slight exertion; trembling of hands and legs; twitching of muscles when trying to fall asleep; occipital or spinal headaches from mental strain; palpitation from minor effort with sense of collapse","Mental or physical overwork; worry; sexual excess; cold drafts on spine; attempting sustained effort","Rest; warmth to back; short breaks during work; gentle, non-straining exercise once steadier","Nervous and spinal sphere; neurasthenia and spinal irritation with trembling, twitching and easy exhaustion after slight exertion or overwork"
"STRYCH-G","Strychnos gaultheriana (Hoang nan)","Depressed, gloomy and apprehensive; irritable and hypersensitive to noise and contradiction; mental dullness with spinal pains","Acts on spinal cord, peripheral nerves and skin; paralytic states following infections or toxins; neuralgia and spinal pains; used in some chronic skin and leprous conditions in old literature","Tingling, numbness and weakness in limbs; unsteady gait with tendency to stumble; aching and soreness along spine; neuralgic pains in peripheral nerves; sometimes anaesthetic or discoloured skin patches in chronic cases","Exertion; prolonged standing; cold damp weather; emotional upset in weakened state","Rest; warmth; gentle rubbing of affected limbs; gradual exercise as strength allows","Nervous and trophic sphere; spinal and peripheral nerve weakness with numbness, neuralgia and gradual loss of power in chronically debilitated patients"
"SUCC","Succinum","Restless, fidgety and anxious children; frightened easily with night-terrors; oversensitive, nervous types who react strongly to pain and noise","Traditional amber remedy; antispasmodic and calming; dentition troubles; spasmodic coughs and whooping-cough; nervous convulsions in delicate children","Spasmodic, choking cough in fits, child becomes blue and rigid; teething with great irritability, biting and crying; twitching of limbs or slight convulsive movements from excitement; disturbed sleep with sudden waking in fright","Teething; excitement; fright; night on falling asleep; cold air during cough attacks","Being carried and soothed; warm room; gentle rubbing and holding; expectoration after cough","Paediatric nervous and respiratory sphere; teething, spasmodic coughs and mild convulsive tendencies in overreactive, easily frightened children"
"SUL-AC","Sulphuricum acidum","Hurried, anxious and easily startled; feels everything must be done quickly; internally trembling; melancholic and irritable with sense of weakness and sinking","Acts on blood-vessels, mucous membranes and digestive tract; tendency to haemorrhages and easy bruising; chronic alcoholism; sourness and heartburn; rapid debility and tremor","Extreme weakness with internal trembling; ecchymoses and bruises from slight knocks; haemorrhages of dark, thin blood that oozes and clots poorly; sour, acrid eructations and vomiting that set teeth on edge; heartburn with craving for alcohol or stimulants; sensation of rawness and soreness in throat and stomach","Motion and exertion; alcohol in sensitive states; cold, damp weather; mental strain when exhausted","Rest; cool, bland drinks; gentle support and feeding in small quantities; avoidance of stimulants","Vascular and digestive sphere; haemorrhagic tendencies, easy bruising and sour gastric states with great weakness and hurried, trembling feeling"
"SUL-I","Sulphur iodatum","Restless, irritable and easily overheated; nervous and excitable with alternating depression; adolescents sensitive about appearance and glands","Combines features of Sulphur and Iodum; acts on lymphatic glands, skin and respiratory tract; scrofulous and tubercular tendencies; enlarged tonsils and glands; acne and chronic eruptions","Chronic enlargement of tonsils and cervical glands; adenoids with mouth-breathing; persistent catarrh of nose and throat; acne, pustules and papular eruptions on face, shoulders and back; tendency to emaciation above with relatively large abdomen in youth","Warm, stuffy rooms; overheating in bed; exertion in hot weather; milk and rich food in some subjects","Cool, fresh air; moderate, regular exercise; light, simple diet; open-air life","Glandular, cutaneous and respiratory sphere; scrofulous children and youths with enlarged tonsils and glands, acne and chronic catarrh who are warm-blooded and restless"
"SULFON","Sulfonalum (Sulfonal)","Depressed, apathetic and mentally dull; stupefied, as if intoxicated; irritable when roused from heavy, unrefreshing sleep; fear of losing control","Drug-remedy for effects of hypnotic poisoning; profound drowsiness with poor coordination; vertigo, staggering gait and paraesthesia; circulatory and nervous depression","Great drowsiness yet sleep unrefreshing; staggering, ataxic gait as if drunk; heaviness of head with vertigo; numbness and tingling in extremities; coldness of hands and feet; prostration after smallest effort","After doses of hypnotic drugs; mental exertion; standing or walking; sudden rising from bed","Lying down; absolute rest; fresh air in moderation; discontinuance of drug and gentle nursing","Nervous and drug-toxic sphere; ataxia, vertigo and prostration from hypnotic or sedative overuse with heavy, unrefreshing sleep and numbness of extremities"
"SULO-AC","Sulphurosum acidum","Irritable, anxious and depressed during septic or catarrhal states; mentally dull and heavy with sense of oppression and foulness; discouraged by persistent throat and chest symptoms","Acts on mucous membranes and blood; low septic or catarrhal conditions of throat, bronchi and stomach; foul breath and discharges; great prostration with chilliness and periodic feverish attacks","Raw, burning, ulcerated throat with foetid breath; thick, offensive mucus in nose and chest; short, hacking cough with soreness behind sternum; sour, offensive eructations and gastric irritation; general chilliness with low-grade fever and night sweats","Cold, damp air; exertion; night; lying flat when chest is oppressed; suppression of natural discharges","Warmth; rest; gentle expectoration of mucus; warm, bland drinks","Catarrhal and septic sphere; foul throat and chest catarrh with burning, ulcerated mucosa, offensive odour and marked fatigue"
"SULPH","Sulphur","Careless, philosophical, somewhat egotistical; imaginative, theorizing; indolent yet restless; irritable and critical when disturbed; aversion to bathing; anxiety about health and salvation, especially at night; feels he will not recover but is not much afraid","Deep antipsoric acting on skin, circulation and all organs; venous congestion; heat at vertex and in soles; offensive discharges; tendency to chronic eruptions and catarrh; aggravation from standing and from bathing; “ragged philosopher” type who neglects appearance","Burning itching eruptions that are worse from warmth of bed and scratching, then become sore; unhealthy skin, every little injury suppurates; offensive foot-sweat; morning diarrhoea driving out of bed; piles that itch and burn; heat on top of head, must uncover; red orifices (nose, lips, anus, vulva); sense of sinking at 11 a.m. with hunger-faintness","Heat, especially in bed; standing long; bathing; suppression of eruptions or discharges; 11 a.m.; rich food and alcohol","Dry, warm weather (not too hot); open air though patient easily chilled; lying on right side; loosening tight clothing; bringing out eruptions or discharges","Constitutional, cutaneous and portal sphere; chronic skin and catarrhal complaints, haemorrhoids and venous congestion in warm-blooded, untidy, critical patients who are worse heat and bathing"
"SUM","Sumbul","Highly emotional, impressionable and hysterical; alternation of exaltation and depression; nervous, tremulous and oversensitive to noise and odours; feels heart and nerves are overstrained","Acts on nervous system and circulation; hysterical and neurasthenic states; functional palpitations; smelling remedy with action like musk; nervous digestive complaints and menstrual irregularities","Palpitations and fluttering of heart from emotions or slight exertion; sighing and gasping with nervous tightness in chest; globus hystericus and choking sensations; flatulent distension with sinking at pit of stomach; irregular or suppressed menses with hysterical outbursts","Emotional excitement; coffee and stimulants; fatigue; closed, stuffy rooms and strong odours","Open, fresh air; rest; gentle company and soothing conversation; light, easily digested food","Nervous and circulatory sphere; functional palpitations, hysteria and neurasthenia in sensitive, perfumelike-smell-responsive patients"
"SUMB","Sumbulus moschatus (Sumbul – Ferula sumbul)","Nervous, excitable and imaginative; hysterical laughing and crying; fearful, anxious and oversensitive to impressions; better from pleasant diversion and music","Marked action on nervous system, circulation and female organs; hysterical and syncopal attacks; functional heart disorders; irregular menses with nervous symptoms; tendency to spasmodic and fainting fits","Palpitation with throbbing carotids and tendency to faint; hysterical attacks with globus, choking and functional aphonia; nervous spasmodic cough; irregular, painful or suppressed menses with great nervous unrest; chilliness followed by flushes and sweat in delicate women","Emotional disturbance; strong smells and close rooms; mental strain; sexual excitement; fatigue","Fresh, cool air; quiet, sympathetic company; music; gentle rest with head raised","Nervous, circulatory and female sphere; hysterical and functional cardiac complaints, menstrual irregularities and faintness in sensitive, perfumy-remedy type patients"
"SYM-R","Symphoricarpos racemosus (Symphoricarpos racemosa)","Despondent, miserable and anxious from constant nausea; aversion to food and company; pregnant women feel wretched and hopeless about ever being free of sickness","Acts strongly on stomach, especially in pregnancy; obstinate nausea and vomiting of pregnancy; seasickness-like states; some action in menstrual nausea and uterine derangements","Persistent nausea with inclination to vomit at sight or smell of food; vomiting of food and bile, especially in pregnancy; extreme aversion to food, even thought of it sickens; sense of weight and sinking at pit of stomach; constipation often accompanying pregnancy vomiting","Motion, especially riding in vehicles; sight or smell of food; pregnancy; least attempt to eat","Absolute rest; small sips of cold water or ice; avoidance of food odours; lying quietly on right side or back","Gastric and uterine sphere; obstinate vomiting of pregnancy and motion-sickness-like nausea with profound aversion to food and great despondency"
"SYMPH","Symphytum officinale (Symphytum)","Irritable, low and oversensitive from bone and periosteal pains; anxious about results of injuries; children peevish when traumatized parts ache","Specific bone-repair remedy; promotes union of fractures; injuries to bone, cartilage and periosteum; traumatic eye injuries from blunt objects; non-union and painful callus","Excessive soreness and pain in region of fractures, as if bone were being scraped; slow or delayed union of broken bones; bruised, thrust-like pain in eyeball after blow from fist or stone; periosteal soreness and aching after contusions","Local injury and pressure; movement of fractured limb; cold, damp weather; too early use of limb","Rest and immobilization of part; firm but gentle support or bandaging; warmth; time and proper alignment","Osseous and traumatic sphere; promotes healing and relieves pain in fractures, bone bruises and periosteal injuries, and blunt trauma to the eyeball"
"SYPH","Syphilinum","Hopeless, despairing and haunted by sense of doom; feels cursed or fated to disease; compulsive washing of hands and body; fears losing reason; insomnia from anxiety and bone pains","Deep-acting nosode of syphilitic miasm; destructive processes in bones, mucous membranes and skin; ulceration, caries and deformity; marked night aggravation and periodicity; inherited or acquired taint","Violent bone pains, especially at night, driving from bed (worse 2–4 a.m.); headaches as if skull would burst, often from occiput to forehead; recurrent ulcerations of mouth, throat and genitals; deep fissures and rhagades about orifices; offensive, thin discharges; recurring complaints with fixed periodicity or “never well since” syphilitic history","Night, especially after midnight; damp, cold; change of weather; rest in bed; suppression of discharges; mental exertion","Dry, warm climate; moving about gently at night; hot applications to painful bones; free, natural discharges","Chronic destructive sphere; inherited or acquired syphilitic states with bone pains, ulceration, offensive discharges and strong night aggravation with despair and obsessive washing"
"SYZYG","Syzygium jambolanum","Depressed, weak and apathetic; worried and anxious about diabetes and its complications; irritable when hungry or when thirst is unrelieved","Acts on pancreas and metabolism; lowers blood sugar in many diabetics; intense polyuria and polydipsia; emaciation despite good appetite; boils and skin irritations in diabetics","Profuse urination, often pale and copious, with intense thirst; excessive appetite yet loss of flesh; furuncles, carbuncles and itching eruptions in diabetic subjects; dry mouth and tongue; fatigue and heaviness after meals","Overeating, especially sweets and starches; mental or physical strain; infections or skin irritations; neglect of hygiene","Moderation in diet; plenty of water within metabolic limits; rest after meals; good skin care and cleanliness","Metabolic and pancreatic sphere; adjunct in diabetes with profuse urine, excessive thirst and diabetic skin boils or itching"
"TAB","Tabacum","Deathly pale, icy cold, bathed in cold sweat; intense nausea with sinking at epigastrium; anxiety and fear of death; wants abdomen uncovered and fresh air, feels better in open air though chilly","Acts on vagus, circulation and digestive tract; collapse states with extreme nausea and vomiting; seasickness and travel sickness; angina-like chest oppression with coldness and faintness","Seasick-type nausea with violent vomiting, cold sweat and deadly pallor; sinking, empty feeling at pit of stomach; coldness of limbs and clammy perspiration; intermittent pulse with chest oppression and angina-like pains; desire to uncover abdomen while rest of body craves warmth","Least motion, especially on ship or in vehicle; tobacco use in sensitive persons; warm, stuffy rooms; anxiety and fear","Open, cool, fresh air; lying perfectly still; uncovering abdomen; closing eyes; cold applications to head","Vaso-vagal and gastric sphere; seasickness, collapse and anginal states with extreme nausea, cold sweat, pallor and relief from fresh air and absolute rest"
"TANAC","Tanacetum vulgare","Irritable, nervous and restless; children cross, excitable and hard to control; anxious and frightened during spasms or worm attacks","Worm and nervous remedy; especially for roundworms; spasmodic and convulsive states; chorea and twitchings in children; menstrual and uterine colic","Intense itching of nose and anus, grinding of teeth and restless sleep from worms; colicky abdominal pains with rumbling and frequent small stools; twitching and jerking of limbs, sometimes choreic movements; in women, cramping menstrual pains with expulsion of clots; tendency to spasmodic attacks in children","Night; eating sweets; excitement; suppression of menses or sudden chill; intestinal worm infestation","Passing of worms after proper treatment; warmth; quiet environment; reduction of sweets and irritant foods","Intestinal and nervous sphere; worm colic, pruritus ani and choreic or spasmodic symptoms in excitable, irritable children and women with uterine colic"
"TANN-AC","Tannicum acidum (Tannic acid)","Anxious and worried by persistent bleeding or diarrhoea; mentally dull and easily fatigued during long-standing mucous or venous troubles","Astringent action on mucous membranes and vessels; passive haemorrhages; chronic varicose and haemorrhoidal conditions; watery, debilitating diarrhoea; ulcerations that ooze dark blood or serum","Thin, dark, oozing haemorrhages from nose, womb or bowels; passive bleeding from piles or varicose ulcers; watery, exhausting diarrhoea with soreness of anus; relaxed, flabby mucous membranes and tissues that bleed easily","Exertion; hot drinks and stimulants; standing long; local irritation or friction of affected parts","Rest; firm but gentle pressure and bandaging; cool applications; cold, bland drinks","Vascular and mucous membrane sphere; passive bleedings, watery diarrhoea and relaxed varicose or ulcerated tissues needing an astringent-type remedy"
"TARAX","Taraxacum officinale","Irritable, gloomy and oversensitive when digestion is out of order; easily annoyed by slightest disturbance during gastric attacks","Acts on liver, stomach and digestion; atonic dyspepsia; bilious headaches; map-tongue with denuded red patches; much wind and rumbling with sense of fulness and weight","Tongue coated with white, peeled spots like a map; bitter or sour taste; constant shifting of gas with loud rumbling, but little relief; heaviness and soreness in liver region; headache and nausea after eating, especially fatty or rich food","After eating, especially fats and pastries; night; lying on left side; mental effort after meals","Light, simple diet; warm drinks; passing flatus or stool; gentle movement after eating","Digestive and hepatic sphere; atonic, gassy dyspepsia with mapped tongue, bitter taste and hepatic soreness in irritable, bilious patients"
"TARENT","Tarentula hispanica","Intensely restless, hurried and impulsive; alternates between excitement and depression; jealous, suspicious and destructive; great desire for music, dancing and rapid motion which relieve","Acts on nervous system and female pelvic organs; chorea, hysteria and convulsive movements; burning, tearing neuralgias; congestive and painful ovarian and uterine conditions; extreme hyperaesthesia","Constant need to move, dance, work or fidget; sudden violent pains, burning, stabbing or tearing, compelling motion; twitching and choreic movements of limbs; intense sexual excitement or perversion; uterine and ovarian pains, often right-sided, with great restlessness","Rest; touch; contradiction; bright colours and noise when not in harmony; evening and night; before menses","Rapid, continued motion; dancing and rhythmic music; occupation and busy work; cool, fresh air","Nervous and female pelvic sphere; chorea, hysterical states and ovarian pains in intensely restless, music-loving, over-stimulated patients"
"TARENT-C","Tarentula cubensis","Dull, toxic, apathetic; indifference to suffering alternating with moaning and irritability; anxious and low from intense septic pains and prostration","Powerful septic and abscess remedy; carbuncles, boils and cellulitis with bluish or black centres; burning, bruised, tearing pains; great weakness and collapse tendency","Enormously swollen, dark-purple or bluish carbuncles and abscesses with horrible burning, bruised pains; skin around lesions oedematous, shining, very sensitive; foul, ichorous discharges; septic fevers with great prostration and trembling","Night; slightest touch; motion; pressure on affected area; advancing sepsis and suppuration","Absolute rest; warm applications that promote ripening or drainage; free discharge of pus; gentle, careful handling","Septic and cellular tissue sphere; malignant carbuncles, abscesses and cellulitis with dark discoloration, intense burning pain and marked prostration"
"TART-AC","Tartaricum acidum","Low-spirited, dull and indifferent; very irritable when digestive or rheumatic pains are marked; depressed by slightest exertion","Acts on mucous membranes and metabolism; gastric catarrh with sourness and heartburn; muscular soreness and rheumatism; states of lactic and uric-acid excess with weakness","Sour eructations and heartburn with heaviness in stomach; nausea and vomiting of sour, acrid fluid; colicky, griping pains with loose, sour stools; general muscular soreness after slight exertion; rheumatic pains worse damp and cold","Cold, damp weather; iced or very acid drinks; overeating; exertion when already weak","Warmth; warm, bland drinks; light, simple food; rest and gentle movement after acute pains","Gastric and rheumatic sphere; sour dyspepsia and muscular soreness or rheumatism in tired, easily exhausted patients sensitive to cold and acids"
"TAX","Taxus baccata","Gloomy, despondent and easily angered; anxious and hypochondriacal about health; irritable, especially with pelvic or skin symptoms","Acts on mucous membranes, skin and female pelvic organs; warts and excrescences; ovarian and uterine irritability; rheumatic and neuralgic pains; toxic states from yew in old literature","Pricking, stitching or neuralgic pains in ovaries and uterus; sense of weight and dragging in pelvis; warty growths and corns on hands and feet, often tender; rheumatic shooting pains in limbs and small joints; headache with scalp tenderness","Cold, damp weather; pressure on corns or warts; exertion; mental anxiety","Warmth; rest; soft footwear and removing pressure from corns; gentle exercise in dry air","Cutaneous and pelvic sphere; warty growths and ovarian or uterine pains with neuralgic, stitching character in gloomy, irritable patients"
"TELL","Tellurium metallicum (Tellurium)","Irritable, sensitive and low-spirited; easily offended; mental discomfort from persistent offensive discharges and skin eruptions","Acts on skin and mucous membranes, especially ears and back; ringworm-like eruptions; fissures behind ears; very offensive otorrhoea and perspiration; spinal irritability and neuralgic pains","Vesicular, circular or ring-shaped eruptions (tinea-type) with intense itching and burning; raw, cracked skin behind ears with offensive discharge; otorrhoea of horribly foetid odour, worse lying on back; offensive sweat and foot odour; sharp, stitching back pains along spine","Lying on back (ear discharge and back pains); washing or wetting parts; changes of weather; night","Dry warmth; lying on side rather than back; gentle, dry cleansing; open air in mild weather","Skin, ear and spinal sphere; ringworm, cracked retro-auricular skin and very offensive ear discharges with spinal neuralgia in irritable, sensitive patients"
"TER","Terebinthinae oleum (Terebinthina)","Anxious, restless and depressed; low-spirited and fearful from abdominal and urinary pains; dull, heavy and drowsy in toxic states","Acts on kidneys, urinary tract, intestines and blood; haemorrhagic nephritis; intestinal ulceration and tympanites; sepsis with tar-like stools and blood in urine; marked tenesmus and burning","Scanty, smoky, coffee-coloured or bloody urine with burning in kidneys and bladder; great tympanitic distension of abdomen with rumbling and colic; burning, raw feeling in intestines with tarry, bloody or foul stools; tongue red and dry, or dark with glossy appearance; dull headache and prostration","Cold, damp exposure; septic or typhoid states; motion; pressure over abdomen","Warmth; rest in recumbent posture; passing urine and flatus; light, bland fluids in small amounts","Renal, intestinal and septic sphere; haemorrhagic nephritis, tympanitic abdomen and dark, tar-like stools in low septic or typhoid conditions"
"TEUCR","Teucrium marum verum","Irritable, restless and very sensitive to local irritation; children obstinate and cross, constantly picking at nose or anus; adults low-spirited from chronic polypi or worms","Acts on mucous membranes of nose and rectum; nasal polypi; chronic catarrh; threadworms and itching at anus; reflex nervous symptoms in children","Intolerable itching and crawling in rectum from ascarides, worse evening and in bed; constant picking and boring in nose; nasal polypi with blocked nose, loss of smell and chronic discharge; sneezing and catarrh, especially in warm rooms; sometimes dry, hacking cough from naso-pharyngeal irritation","Evening and night in bed; warmth of room; sweets (for worms); lying on back or side with thighs together","Cool, fresh air; passing stool or worms; cleansing nostrils and rectum gently; light, simple diet with less sugar","Nasal and rectal sphere; nasal polypi and threadworm irritation with intense itching of nose and anus and restless picking behaviour, especially in children"
"THAL-MET","Thallium metallicum (Thallium)","Deeply depressed, anxious and apathetic; fears paralysis and mental decline; mentally dull and forgetful after severe illness; hopeless about recovery when pains and weakness persist","Acts on peripheral nerves, hair follicles and nutrition; multiple neuritis after infections or toxins; burning, numbness and weakness in limbs; rapid falling of hair from scalp and body; emaciation and prostration","Progressive weakness and numbness of legs and feet with burning, shooting pains; staggering gait and foot-drop; intense burning in soles, worse at night; rapid, diffuse hair loss of scalp, brows and sometimes pubic hair; skin dry, rough and scaly in affected areas","Night in bed; motion or exertion; cold; convalescence after severe infectious disease or heavy metal exposure","Rest; warmth; gentle nursing; protection of sensitive limbs and scalp from cold and friction","Peripheral nervous and trophic sphere; post-infectious or toxic polyneuritis with burning, numb limbs and marked alopecia in profoundly weakened patients"
